DataFile,SampleName,SamplePrepMethod,ItcMethod,AnalysisMethod,CellConcentration,PipetteConcentration,CellSource,PipetteSource,PreRinseSource,SaveSampleDestination
20180806a1,initial cleaning water titration,Plates Clean.setup,water5inj.inj,Control,0,0,"Plate1, A1","Plate1, B1",,"Plate1, A1"
20180806a2,water into water 1,Plates Quick.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, C1","Plate1, D1",,"Plate1, C1"
20180806a3,buffer into buffer 1,Plates Quick.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, E1","Plate1, F1",,"Plate1, E1"
20180806a4,host into buffer 1,Plates Quick.setup,ChoderaHostGuest.inj,Onesite,0,0,"Plate1, G1","Plate1, H1",,"Plate1, G1"
20180806a5,buffer into guest01,Chodera Load Cell Without Cleaning Cell After.setup,ChoderaHostGuest.inj,Control,0.102779831,0,"Plate1, A2","Plate1, B2",,"Plate1, A2"
20180806a6,host into guest01,Plates Quick.setup,ChoderaHostGuest.inj,Onesite,0.102779831,0.752852969,"Plate1, C2","Plate1, D2",,"Plate1, C2"
20180806a7,final water into water test 1,Plates Quick.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, E2","Plate1, F2",,"Plate1, E2"
20180806a8,final water into water test 2,Plates Quick.setup,ChoderaWaterWater.inj,Control,0,0,"Plate1, G2","Plate1, H2",,"Plate1, G2"
