          DH  INJV           Xt           Mt          XMt          NDH
    -0.01505   0.2      0.00000      0.00000      0.00000      0.00000
     0.00831   3.0      0.00000      0.00000      0.00000      0.00000
     0.01415   3.0      0.00000      0.00000      0.00000      0.00000
     0.04064   3.0      0.00000      0.00000      0.00000      0.00000
     0.06907   3.0      0.00000      0.00000      0.00000      0.00000
     0.04512   3.0      0.00000      0.00000      0.00000      0.00000
     0.07368   3.0      0.00000      0.00000      0.00000      0.00000
     0.07962   3.0      0.00000      0.00000      0.00000      0.00000
     0.05724   3.0      0.00000      0.00000      0.00000      0.00000
     0.04400   3.0      0.00000      0.00000      0.00000      0.00000
     0.06660   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
