          DH  INJV           Xt           Mt          XMt          NDH
    -0.88688   0.2      0.00000      0.00000      0.00000      0.00000
    -6.48152   3.0      0.00000      0.00000      0.00000      0.00000
    -4.80465   3.0      0.00000      0.00000      0.00000      0.00000
    -3.82540   3.0      0.00000      0.00000      0.00000      0.00000
    -3.24150   3.0      0.00000      0.00000      0.00000      0.00000
    -2.79156   3.0      0.00000      0.00000      0.00000      0.00000
    -2.43785   3.0      0.00000      0.00000      0.00000      0.00000
    -2.11908   3.0      0.00000      0.00000      0.00000      0.00000
    -1.93842   3.0      0.00000      0.00000      0.00000      0.00000
    -1.69280   3.0      0.00000      0.00000      0.00000      0.00000
    -1.52833   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
