          DH  INJV           Xt           Mt          XMt          NDH
    -0.78418   0.2      0.00000      0.00000      0.00000      0.00000
    -6.26388   3.0      0.00000      0.00000      0.00000      0.00000
    -4.47491   3.0      0.00000      0.00000      0.00000      0.00000
    -3.52042   3.0      0.00000      0.00000      0.00000      0.00000
    -2.92669   3.0      0.00000      0.00000      0.00000      0.00000
    -2.46842   3.0      0.00000      0.00000      0.00000      0.00000
    -2.17326   3.0      0.00000      0.00000      0.00000      0.00000
    -1.93321   3.0      0.00000      0.00000      0.00000      0.00000
    -1.71114   3.0      0.00000      0.00000      0.00000      0.00000
    -1.55311   3.0      0.00000      0.00000      0.00000      0.00000
    -1.43021   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
