          DH  INJV           Xt           Mt          XMt          NDH
    -0.06717   0.2      0.00000      0.00000      0.00000      0.00000
    -1.87089   3.0      0.00000      0.00000      0.00000      0.00000
    -2.18974   3.0      0.00000      0.00000      0.00000      0.00000
    -2.22292   3.0      0.00000      0.00000      0.00000      0.00000
    -2.08880   3.0      0.00000      0.00000      0.00000      0.00000
    -1.92801   3.0      0.00000      0.00000      0.00000      0.00000
    -1.75432   3.0      0.00000      0.00000      0.00000      0.00000
    -1.58729   3.0      0.00000      0.00000      0.00000      0.00000
    -1.43093   3.0      0.00000      0.00000      0.00000      0.00000
    -1.32296   3.0      0.00000      0.00000      0.00000      0.00000
    -1.20577   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
