          DH  INJV           Xt           Mt          XMt          NDH
    -0.96333   0.2      0.00000      0.00000      0.00000      0.00000
    -9.34024   3.0      0.00000      0.00000      0.00000      0.00000
    -9.39104   3.0      0.00000      0.00000      0.00000      0.00000
    -8.61478   3.0      0.00000      0.00000      0.00000      0.00000
    -6.33426   3.0      0.00000      0.00000      0.00000      0.00000
    -2.53728   3.0      0.00000      0.00000      0.00000      0.00000
    -1.35870   3.0      0.00000      0.00000      0.00000      0.00000
    -1.19959   3.0      0.00000      0.00000      0.00000      0.00000
    -1.06419   3.0      0.00000      0.00000      0.00000      0.00000
    -0.98791   3.0      0.00000      0.00000      0.00000      0.00000
    -0.92365   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
