          DH  INJV           Xt           Mt          XMt          NDH
    -0.21483   0.2      0.00000      0.00000      0.00000      0.00000
    -0.85952   3.0      0.00000      0.00000      0.00000      0.00000
    -0.44163   3.0      0.00000      0.00000      0.00000      0.00000
    -0.16648   3.0      0.00000      0.00000      0.00000      0.00000
    -0.16087   3.0      0.00000      0.00000      0.00000      0.00000
    -0.15527   3.0      0.00000      0.00000      0.00000      0.00000
    -0.07392   3.0      0.00000      0.00000      0.00000      0.00000
    -0.01143   3.0      0.00000      0.00000      0.00000      0.00000
    -0.06099   3.0      0.00000      0.00000      0.00000      0.00000
    -0.32105   3.0      0.00000      0.00000      0.00000      0.00000
    -0.63222   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
