          DH  INJV           Xt           Mt          XMt          NDH
    -0.04119   0.2      0.00000      0.00000      0.00000      0.00000
    -0.94905   3.0      0.00000      0.00000      0.00000      0.00000
    -0.77607   3.0      0.00000      0.00000      0.00000      0.00000
    -0.77043   3.0      0.00000      0.00000      0.00000      0.00000
    -0.70820   3.0      0.00000      0.00000      0.00000      0.00000
    -0.65460   3.0      0.00000      0.00000      0.00000      0.00000
    -0.57797   3.0      0.00000      0.00000      0.00000      0.00000
    -0.45156   3.0      0.00000      0.00000      0.00000      0.00000
    -0.46127   3.0      0.00000      0.00000      0.00000      0.00000
    -0.66337   3.0      0.00000      0.00000      0.00000      0.00000
    -1.02442   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
