          DH  INJV           Xt           Mt          XMt          NDH
    -0.74286   0.2      0.00000      0.00000      0.00000      0.00000
    -2.50705   3.0      0.00000      0.00000      0.00000      0.00000
    -2.47092   3.0      0.00000      0.00000      0.00000      0.00000
    -2.39587   3.0      0.00000      0.00000      0.00000      0.00000
    -2.17510   3.0      0.00000      0.00000      0.00000      0.00000
    -1.89738   3.0      0.00000      0.00000      0.00000      0.00000
    -1.30884   3.0      0.00000      0.00000      0.00000      0.00000
    -0.73731   3.0      0.00000      0.00000      0.00000      0.00000
     0.00279   3.0      0.00000      0.00000      0.00000      0.00000
     0.86494   3.0      0.00000      0.00000      0.00000      0.00000
     1.82576   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
